AP_dBm,STA_1,STA_2,STA_3
0,16.5763,16.0772,18.3101
1,17.431,16.9376,19.1865
2,18.3257,17.8707,20.0911
3,19.2776,18.8551,20.9758
4,21.1031,21.1296,21.8335
5,22.236,22.537,22.9786
6,22.6158,23.0955,24.2959
7,23.8535,24.5267,26.2523
8,24.5486,25.2684,27.0355
9,25.146,25.8746,27.6696
10,25.7355,26.4696,28.2916
11,26.3242,27.0635,28.9124
12,26.9128,27.6573,29.5332
13,27.5015,28.2512,30.1539
14,28.0902,28.8451,30.7747
15,28.6789,29.4374,31.3955
16,29.2676,30.0312,32.0162
17,29.8563,30.6251,32.637
18,30.445,31.2189,33.2578
19,31.0337,31.8128,33.8785
20,31.6224,32.4073,34.4993
21,32.2111,33.0012,35.1201
